# Atomic number Z= 29  Date:15-10-2021

# Number	Shelli	2Ji	Eigi	Total Energy (eV)	Ground Energy(eV)	Partial Width (eV)
	1		K1		0	1		-35975.80494		8986.02503			4.349140191078853
	2		K1		2	1		-35975.89633		8985.93364          4.330083376399945
	3		L1		0	1		-43855.4277			1106.40227          0.04210876650999746
	4		L1		2	1		-43855.57931		1106.25066          0.032347739852982914
	5		L2		0	1		-44002.97328		958.85669           0.04183651545855642
	6		L3		2	1		-44022.95577		938.8742            0.04120198513091894
	7		L2		2	2		-44002.93215		958.89782           0.042318265989969274
	8		L3		4	1		-44023.03866		938.79131           0.04167470323190799
	9		M1		0	1		-44829.77821		132.05176           0.000201727703449061
	10		M1		2	1		-44829.96236		131.86761           0.00025321350737099165
	11		M2		0	1		-44876.29035		85.53962            0.0007928157709389413
	12		M3		2	1		-44878.56034		83.26963            0.0007709934638570945
	13		M2		2	2		-44876.14744		85.68253            0.000827340117834051
	14		M3		4	1		-44878.80523		83.02474            0.0007420930451846763
	15		M4		2	1		-44954.28337		7.5466              1.7602679443239277e-16
	16		M5		4	1		-44954.41256		7.41741             8.787447696389397e-17
	17		M4		4	2		-44953.92648		7.90349             1.2221125503403278e-15
	18		M5		6	1		-44954.53208		7.29789             1.14808203074808e-30
	19		N1		0	1		-44955.26947		6.5605              0.0
