# Atomic number Z= 29  Date:15-10-2021

# Number	Shelli	2Ji	Eigi	Total Energy (eV)	Ground Energy(eV)
	1		K1K1	1	1		-26583.68393		18378.14604
	2		K1L1	1	1		-34797.51552		10164.31445
	3		K1L1	1	2		-34793.77194		10168.05803
	4		K1L1	3	1		-34797.72373		10164.10624
	5		K1L3	1	1		-34936.43941		10025.39056
	6		K1L2	1	2		-34921.48185		10040.34812
	7		K1L2	1	3		-34912.82036		10049.00961
	8		K1L3	3	1		-34946.27343		10015.55654
	9		K1L3	3	2		-34936.5752			10025.25477
	10		K1L2	3	3		-34913.25248		10048.57749
	11		K1L3	5	1		-34946.49393		10015.33604
	12		K1M1	1	1		-35821.15899		9140.67098
	13		K1M1	1	2		-35819.60644		9142.22353
	14		K1M1	3	1		-35821.35164		9140.47833
	15		K1M3	1	1		-35868.02444		9093.80553
	16		K1M2	1	2		-35866.13698		9095.69299
	17		K1M2	1	3		-35865.3351			9096.49487
	18		K1M3	3	1		-35868.77737		9093.0526
	19		K1M3	3	2		-35868.34489		9093.48508
	20		K1M2	3	3		-35865.25638		9096.57359
	21		K1M3	5	1		-35869.62379		9092.20618
	22		K1M4	1	1		-35950.31197		9011.518
	23		K1M5	3	1		-35950.46718		9011.36279
	24		K1M4	3	2		-35950.19391		9011.63606
	25		K1M4	3	3		-35949.87913		9011.95084
	26		K1M5	5	1		-35950.58292		9011.24705
	27		K1M4	5	2		-35950.06739		9011.76258
	28		K1M4	5	3		-35949.95741		9011.87256
	29		K1M5	7	1		-35950.6929			9011.13707
	30		K1N1	1	1		-35959.28249		9002.54748
	31		L1L1	1	1		-42693.05841		2268.77156
	32		L1L3	1	1		-42866.36483		2095.46514
	33		L1L2	1	2		-42857.03871		2104.79126
	34		L1L2	1	3		-42825.49751		2136.33246
	35		L1L3	3	1		-42877.67415		2084.15582
	36		L1L3	3	2		-42866.4514			2095.37857
	37		L1L2	3	3		-42825.54539		2136.28458
	38		L1L3	5	1		-42877.88218		2083.94779
	39		L1M1	1	1		-43705.073			1256.75697
	40		L1M1	1	2		-43704.02917		1257.8008
	41		L1M1	3	1		-43705.2695			1256.56047
	42		L1M3	1	1		-43750.87616		1210.95381
	43		L1M2	1	2		-43749.18923		1212.64074
	44		L1M2	1	3		-43748.36343		1213.46654
	45		L1M3	3	1		-43751.54584		1210.28413
	46		L1M3	3	2		-43751.16187		1210.6681
	47		L1M2	3	3		-43748.29691		1213.53306
	48		L1M3	5	1		-43752.19551		1209.63446
	49		L1M4	1	1		-43829.92136		1131.90861
	50		L1M4	3	1		-43830.00849		1131.82148
	51		L1M4	3	2		-43829.43598		1132.39399
	52		L1M5	3	3		-43827.46005		1134.36992
	53		L1M5	5	1		-43830.13301		1131.69696
	54		L1M5	5	2		-43829.68327		1132.1467
	55		L1M5	5	3		-43827.44093		1134.38904
	56		L1M5	7	1		-43830.27672		1131.55325
	57		L1N1	1	1		-43839.18901		1122.64096
	58		L3L3	1	1		-43011.49524		1950.33473
	59		L2L3	1	2		-43006.66371		1955.16626
	60		L2L2	1	3		-42967.1258			1994.70417
	61		L3L3	3	1		-43024.66168		1937.16829
	62		L2L3	3	2		-43006.79976		1955.03021
	63		L2L3	3	3		-42996.1958			1965.63417
	64		L3L3	5	1		-43024.85637		1936.9736
	65		L2L3	5	2		-42996.22789		1965.60208
	66		L3M1	1	1		-43868.6519			1093.17807
	67		L2M1	1	2		-43850.28793		1111.54204
	68		L2M1	1	3		-43849.16121		1112.66876
	69		L3M1	3	1		-43870.29486		1091.53511
	70		L3M1	3	2		-43868.58515		1093.24482
	71		L2M1	3	3		-43849.33959		1112.49038
	72		L3M1	5	1		-43870.45304		1091.37693
	73		L3M3	1	1		-43921.7998			1040.03017
	74		L3M2	1	2		-43915.7937			1046.03627
	75		L3M3	1	3		-43919.19806		1042.63191
	76		L2M2	1	4		-43899.16085		1062.66912
	77		L2M3	1	5		-43898.12386		1063.70611
	78		L2M2	1	6		-43891.39296		1070.43701
	79		L3M3	3	1		-43921.86086		1039.96911
	80		L3M2	3	2		-43916.5385			1045.29147
